old_url,old_type,old_title,new_url,redirect_status
https://mariusvarhaugvik.com/placeholder-image/,attachment,Placeholder Image,,TO_REVIEW
https://mariusvarhaugvik.com/placeholder-image-2/,attachment,Placeholder Image,,TO_REVIEW
https://mariusvarhaugvik.com/marius_mane_logo_yellow_001/,attachment,Marius_Mane_logo_yellow_001,,TO_REVIEW
https://mariusvarhaugvik.com/btf/,attachment,btf,,TO_REVIEW
https://mariusvarhaugvik.com/img_4456/,attachment,img_4456,,TO_REVIEW
https://mariusvarhaugvik.com/png-bild/,attachment,png-bild,,TO_REVIEW
https://mariusvarhaugvik.com/skh-fasad-skylt_torulf-holmstrom_1100x620/,attachment,skh-fasad-skylt_torulf-holmstrom_1100x620,,TO_REVIEW
https://mariusvarhaugvik.com/about/image/,attachment,image,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/image-2/,attachment,image,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/image-1/,attachment,image-1,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/img_8003/,attachment,img_8003,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/affisch_uppdaterad_utanqr/,attachment,AFFISCH_uppdaterad_utanqr,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-01-23-at-19-41-51/,attachment,Screenshot 2025-01-23 at 19.41.51,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/korallrev-affisch-chatgpt/,attachment,Korallrev Affisch [ChatGPT],,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/566539527_1417112663365704_7115004352400364571_n/,attachment,566539527_1417112663365704_7115004352400364571_n,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/533175968_1315172157284585_2147719845660315127_n/,attachment,533175968_1315172157284585_2147719845660315127_n,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/527753663_10235043102085726_1813004209785654037_n/,attachment,527753663_10235043102085726_1813004209785654037_n,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/32597013_1720578138020788_5004147253623914496_n/,attachment,32597013_1720578138020788_5004147253623914496_n,,TO_REVIEW
https://mariusvarhaugvik.com/motion-graphics/mv5by2vin2nkmjitmmexoc00n2vmltk0nwmtytg0zdjknwu0oge2xkeyxkfqcgc-_v1_fmjpg_ux1000_/,attachment,MV5BY2ViN2NkMjItMmExOC00N2VmLTk0NWMtYTg0ZDJkNWU0OGE2XkEyXkFqcGc@._V1_FMjpg_UX1000_,,TO_REVIEW
https://mariusvarhaugvik.com/about/img_5166/,attachment,IMG_5166,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-11-17-at-12-15-01/,attachment,Screenshot 2025-11-17 at 12.15.01,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/andrea-poppar-ut_3/,attachment,Andrea poppar ut_3,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/mammas-fiol-skrams/,attachment,Mammas fiol skräms,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/pennvassaren-circuit-bender_2/,attachment,Pennvässaren [circuit bender]_2,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/forfattarens-svara-gitarr-refrang/,attachment,Författarens svåra gitarr refräng,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/scen-5-eller-9-creepy-pasta/,attachment,Scen 5 eller 9 [creepy pasta],,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/sommarbeat/,attachment,Sommarbeat,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/walter-mane/,attachment,WALTER-MANE,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/fakkoff_3/,attachment,FakkOff_3,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/korallen-vaknar_alla/,attachment,Korallen vaknar_alla,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/spoket-kommer-in-till-scen-7-162/,attachment,"Spöket kommer in till scen 7, 162",,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/hilda-tystnar-uppgivet-176-3/,attachment,"Hilda tystnar uppgivet, 176 (3)",,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/morkt-men-ljusnar-scen-13-302_3/,attachment,"mörkt men ljusnar, scen 13, 302_3",,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/barnet-inom-oss/,attachment,Barnet inom oss,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/berget-faller/,attachment,Berget faller,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/10-barnet-ebb-flod_2/,attachment,10. Barnet (ebb &amp; flod)_2,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/walk-of-shame-loop/,attachment,Walk of shame (loop),,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/walk-of-shame/,attachment,Walk of shame,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/walk-of-shame_2/,attachment,Walk of shame_2,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/klumpig-karleksfull-gullig-outro_3/,attachment,"Klumpig, kärleksfull &amp; gullig (outro)_3",,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/som-anga/,attachment,Som ånga,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/tyrolen-ett-vattenfall-avslutas-_-inte-vara-sjukvardare-langre__2/,attachment,"Tyrolen, ett vattenfall. Avslutas- _..inte vara sjukvårdare längre__2",,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/sackar-ihop-gyttja-sen-massivt-vatten_2/,attachment,"Säckar ihop, gyttja sen massivt vatten_2",,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/havet-ar-stilla/,attachment,Havet är stilla,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/woman-kortare/,attachment,Woman kortare,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/3-malmo-piano/,attachment,(3) Malmö piano,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/mopeden_3/,attachment,Mopeden_3,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/trettonde-aug-slowww_2/,attachment,trettonde aug [slowww]_2,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/12719_t/,attachment,12719_t,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-11-17-at-12-21-09/,attachment,Screenshot 2025-11-17 at 12.21.09,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-11-17-at-12-31-16/,attachment,Screenshot 2025-11-17 at 12.31.16,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-11-17-at-12-20-06/,attachment,Screenshot 2025-11-17 at 12.20.06,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/f578cf_e10e76bb40604faf8bb5c45e64654598mv2/,attachment,f578cf_e10e76bb40604faf8bb5c45e64654598~mv2,,TO_REVIEW
https://mariusvarhaugvik.com/marius-varhaugvik/f578cf_f8edcfce9800451983028fec2e79a64emv2/,attachment,f578cf_f8edcfce9800451983028fec2e79a64e~mv2,,TO_REVIEW
