post_id,title,slug,url,attachment_url,media_type,alt,parent,post_date,modified
29,Placeholder Image,placeholder-image,https://mariusvarhaugvik.com/placeholder-image/,https://mariusvarhaugvik.com/wp-content/uploads/2021/02/qi-bin-w4hbafegiac-unsplash.jpg,image,,0,2021-02-21 16:28:58,2021-02-21 16:28:58
32,Placeholder Image,placeholder-image-2,https://mariusvarhaugvik.com/placeholder-image-2/,https://mariusvarhaugvik.com/wp-content/uploads/2021/02/rachel-pfuetzner-0fn7fxv1ewa-unsplash.jpg,image,,0,2021-02-21 16:28:59,2021-02-21 16:28:59
51,Marius_Mane_logo_yellow_001,marius_mane_logo_yellow_001,https://mariusvarhaugvik.com/marius_mane_logo_yellow_001/,https://mariusvarhaugvik.com/wp-content/uploads/2021/02/marius_mane_logo_yellow_001.png,image,,0,2021-02-22 10:08:28,2021-02-22 10:08:28
80,btf,btf,https://mariusvarhaugvik.com/btf/,https://mariusvarhaugvik.com/wp-content/uploads/2021/08/img_20181105_122155.jpg,image,,0,2021-08-30 09:15:43,2021-08-30 09:15:43
81,img_4456,img_4456,https://mariusvarhaugvik.com/img_4456/,https://mariusvarhaugvik.com/wp-content/uploads/2021/08/img_4456.jpg,image,,0,2021-08-30 09:20:40,2021-08-30 09:20:40
83,png-bild,png-bild,https://mariusvarhaugvik.com/png-bild/,https://mariusvarhaugvik.com/wp-content/uploads/2021/08/png-bild.png,image,,0,2021-08-30 09:25:27,2021-08-30 09:25:27
109,skh-fasad-skylt_torulf-holmstrom_1100x620,skh-fasad-skylt_torulf-holmstrom_1100x620,https://mariusvarhaugvik.com/skh-fasad-skylt_torulf-holmstrom_1100x620/,https://mariusvarhaugvik.com/wp-content/uploads/2022/03/skh-fasad-skylt_torulf-holmstrom_1100x620.jpeg,image,,0,2022-03-09 07:56:14,2022-03-09 07:56:14
125,image,image,https://mariusvarhaugvik.com/about/image/,https://mariusvarhaugvik.com/wp-content/uploads/2022/09/image.jpeg,image,,78,2022-09-08 09:04:26,2022-09-08 09:04:26
142,image,image-2,https://mariusvarhaugvik.com/marius-varhaugvik/image-2/,https://mariusvarhaugvik.com/wp-content/uploads/2022/10/image.png,image,,6,2022-10-02 20:18:25,2026-05-12 23:08:32
144,image-1,image-1,https://mariusvarhaugvik.com/marius-varhaugvik/image-1/,https://mariusvarhaugvik.com/wp-content/uploads/2022/10/image-1.png,image,,6,2022-10-02 20:24:03,2022-10-02 20:24:03
154,img_8003,img_8003,https://mariusvarhaugvik.com/marius-varhaugvik/img_8003/,https://mariusvarhaugvik.com/wp-content/uploads/2022/10/img_8003.jpg,image,,6,2022-10-20 22:13:18,2022-10-20 22:13:18
310,AFFISCH_uppdaterad_utanqr,affisch_uppdaterad_utanqr,https://mariusvarhaugvik.com/marius-varhaugvik/affisch_uppdaterad_utanqr/,https://mariusvarhaugvik.com/wp-content/uploads/2021/02/3cd7e-affisch_uppdaterad_utanqr.jpg,image,,6,2024-04-14 17:27:52,2024-04-14 17:27:52
322,Screenshot 2025-01-23 at 19.41.51,screenshot-2025-01-23-at-19-41-51,https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-01-23-at-19-41-51/,https://mariusvarhaugvik.com/wp-content/uploads/2025/01/screenshot-2025-01-23-at-19.41.51.png,image,,6,2025-01-23 19:42:28,2025-01-23 19:42:28
327,Korallrev Affisch [ChatGPT],korallrev-affisch-chatgpt,https://mariusvarhaugvik.com/marius-varhaugvik/korallrev-affisch-chatgpt/,https://mariusvarhaugvik.com/wp-content/uploads/2025/06/korallrev-affisch-chatgpt.png,image,,6,2025-06-24 21:21:43,2026-05-12 23:08:32
332,566539527_1417112663365704_7115004352400364571_n,566539527_1417112663365704_7115004352400364571_n,https://mariusvarhaugvik.com/marius-varhaugvik/566539527_1417112663365704_7115004352400364571_n/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/566539527_1417112663365704_7115004352400364571_n.png,image,,6,2025-11-04 12:37:01,2025-11-04 12:37:01
336,533175968_1315172157284585_2147719845660315127_n,533175968_1315172157284585_2147719845660315127_n,https://mariusvarhaugvik.com/marius-varhaugvik/533175968_1315172157284585_2147719845660315127_n/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/533175968_1315172157284585_2147719845660315127_n.jpg,image,,6,2025-11-04 13:21:59,2025-11-04 13:21:59
339,527753663_10235043102085726_1813004209785654037_n,527753663_10235043102085726_1813004209785654037_n,https://mariusvarhaugvik.com/marius-varhaugvik/527753663_10235043102085726_1813004209785654037_n/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/527753663_10235043102085726_1813004209785654037_n.jpg,image,,6,2025-11-04 13:25:32,2026-05-12 23:08:32
341,32597013_1720578138020788_5004147253623914496_n,32597013_1720578138020788_5004147253623914496_n,https://mariusvarhaugvik.com/marius-varhaugvik/32597013_1720578138020788_5004147253623914496_n/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/32597013_1720578138020788_5004147253623914496_n.jpg,image,,6,2025-11-04 13:28:57,2026-05-12 23:08:32
343,MV5BY2ViN2NkMjItMmExOC00N2VmLTk0NWMtYTg0ZDJkNWU0OGE2XkEyXkFqcGc@._V1_FMjpg_UX1000_,mv5by2vin2nkmjitmmexoc00n2vmltk0nwmtytg0zdjknwu0oge2xkeyxkfqcgc-_v1_fmjpg_ux1000_,https://mariusvarhaugvik.com/motion-graphics/mv5by2vin2nkmjitmmexoc00n2vmltk0nwmtytg0zdjknwu0oge2xkeyxkfqcgc-_v1_fmjpg_ux1000_/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/mv5by2vin2nkmjitmmexoc00n2vmltk0nwmtytg0zdjknwu0oge2xkeyxkfqcgc40._v1_fmjpg_ux1000_.jpg,image,,216,2025-11-11 10:31:14,2025-11-11 10:31:14
351,IMG_5166,img_5166,https://mariusvarhaugvik.com/about/img_5166/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/img_5166.jpg,image,,78,2025-11-19 19:30:44,2025-11-19 19:30:44
358,Screenshot 2025-11-17 at 12.15.01,screenshot-2025-11-17-at-12-15-01,https://mariusvarhaugvik.com/marius-varhaugvik/screenshot-2025-11-17-at-12-15-01/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/screenshot-2025-11-17-at-12.15.01.png,image,,6,2025-11-19 19:53:22,2025-11-19 19:53:22
361,Andrea poppar ut_3,andrea-poppar-ut_3,https://mariusvarhaugvik.com/marius-varhaugvik/andrea-poppar-ut_3/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/andrea-poppar-ut_3.wav,audio,,6,2025-11-19 22:57:04,2026-05-12 23:08:32
362,Mammas fiol skräms,mammas-fiol-skrams,https://mariusvarhaugvik.com/marius-varhaugvik/mammas-fiol-skrams/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/mammas-fiol-skrams.wav,audio,,6,2025-11-19 22:58:54,2026-05-12 23:08:32
363,Pennvässaren [circuit bender]_2,pennvassaren-circuit-bender_2,https://mariusvarhaugvik.com/marius-varhaugvik/pennvassaren-circuit-bender_2/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/pennvassaren-circuit-bender_2.wav,audio,,6,2025-11-19 23:02:36,2026-05-12 23:08:32
365,Författarens svåra gitarr refräng,forfattarens-svara-gitarr-refrang,https://mariusvarhaugvik.com/marius-varhaugvik/forfattarens-svara-gitarr-refrang/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/forfattarens-svara-gitarr-refrang.wav,audio,,6,2025-11-19 23:05:21,2026-05-12 23:08:32
366,Scen 5 eller 9 [creepy pasta],scen-5-eller-9-creepy-pasta,https://mariusvarhaugvik.com/marius-varhaugvik/scen-5-eller-9-creepy-pasta/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/scen-5-eller-9-creepy-pasta.wav,audio,,6,2025-11-19 23:06:59,2026-05-12 23:08:32
369,Sommarbeat,sommarbeat,https://mariusvarhaugvik.com/marius-varhaugvik/sommarbeat/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/sommarbeat.wav,audio,,6,2025-11-19 23:09:53,2026-05-12 23:08:32
371,WALTER-MANE,walter-mane,https://mariusvarhaugvik.com/marius-varhaugvik/walter-mane/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/walter-mane.wav,audio,,6,2025-11-19 23:13:26,2026-05-12 23:08:32
372,FakkOff_3,fakkoff_3,https://mariusvarhaugvik.com/marius-varhaugvik/fakkoff_3/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/fakkoff_3.wav,audio,,6,2025-11-19 23:22:32,2026-05-12 23:08:32
374,Korallen vaknar_alla,korallen-vaknar_alla,https://mariusvarhaugvik.com/marius-varhaugvik/korallen-vaknar_alla/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/korallen-vaknar_alla.wav,audio,,6,2025-11-19 23:27:24,2026-05-12 23:08:32
376,"Spöket kommer in till scen 7, 162",spoket-kommer-in-till-scen-7-162,https://mariusvarhaugvik.com/marius-varhaugvik/spoket-kommer-in-till-scen-7-162/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/spoket-kommer-in-till-scen-7-162.wav,audio,,6,2025-11-19 23:29:21,2026-05-12 23:08:32
377,"Hilda tystnar uppgivet, 176 (3)",hilda-tystnar-uppgivet-176-3,https://mariusvarhaugvik.com/marius-varhaugvik/hilda-tystnar-uppgivet-176-3/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/hilda-tystnar-uppgivet-176-3.wav,audio,,6,2025-11-19 23:31:14,2026-05-12 23:08:32
378,"mörkt men ljusnar, scen 13, 302_3",morkt-men-ljusnar-scen-13-302_3,https://mariusvarhaugvik.com/marius-varhaugvik/morkt-men-ljusnar-scen-13-302_3/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/morkt-men-ljusnar-scen-13-302_3.wav,audio,,6,2025-11-19 23:32:58,2026-05-12 23:08:32
380,Barnet inom oss,barnet-inom-oss,https://mariusvarhaugvik.com/marius-varhaugvik/barnet-inom-oss/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/barnet-inom-oss.wav,audio,,6,2025-11-19 23:35:52,2026-05-12 23:08:32
381,Berget faller,berget-faller,https://mariusvarhaugvik.com/marius-varhaugvik/berget-faller/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/berget-faller.wav,audio,,6,2025-11-19 23:37:13,2026-05-12 23:08:32
382,10. Barnet (ebb &amp; flod)_2,10-barnet-ebb-flod_2,https://mariusvarhaugvik.com/marius-varhaugvik/10-barnet-ebb-flod_2/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/10.-barnet-ebb-flod_2.wav,audio,,6,2025-11-19 23:38:08,2026-05-12 23:08:32
384,Walk of shame (loop),walk-of-shame-loop,https://mariusvarhaugvik.com/marius-varhaugvik/walk-of-shame-loop/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/walk-of-shame-loop.wav,audio,,6,2025-11-19 23:39:02,2025-11-19 23:39:02
385,Walk of shame,walk-of-shame,https://mariusvarhaugvik.com/marius-varhaugvik/walk-of-shame/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/walk-of-shame.wav,audio,,6,2025-11-19 23:40:03,2026-05-12 23:08:32
386,Walk of shame_2,walk-of-shame_2,https://mariusvarhaugvik.com/marius-varhaugvik/walk-of-shame_2/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/walk-of-shame_2.wav,audio,,6,2025-11-19 23:40:26,2026-05-12 23:08:32
388,"Klumpig, kärleksfull &amp; gullig (outro)_3",klumpig-karleksfull-gullig-outro_3,https://mariusvarhaugvik.com/marius-varhaugvik/klumpig-karleksfull-gullig-outro_3/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/klumpig-karleksfull-gullig-outro_3.wav,audio,,6,2025-11-19 23:46:24,2026-05-12 23:08:32
389,Som ånga,som-anga,https://mariusvarhaugvik.com/marius-varhaugvik/som-anga/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/som-anga.wav,audio,,6,2025-11-19 23:47:16,2026-05-12 23:08:32
391,"Tyrolen, ett vattenfall. Avslutas- _..inte vara sjukvårdare längre__2",tyrolen-ett-vattenfall-avslutas-_-inte-vara-sjukvardare-langre__2,https://mariusvarhaugvik.com/marius-varhaugvik/tyrolen-ett-vattenfall-avslutas-_-inte-vara-sjukvardare-langre__2/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/tyrolen-ett-vattenfall.-avslutas-_.inte-vara-sjukvardare-langre__2.wav,audio,,6,2025-11-19 23:48:01,2026-05-12 23:08:32
393,"Säckar ihop, gyttja sen massivt vatten_2",sackar-ihop-gyttja-sen-massivt-vatten_2,https://mariusvarhaugvik.com/marius-varhaugvik/sackar-ihop-gyttja-sen-massivt-vatten_2/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/sackar-ihop-gyttja-sen-massivt-vatten_2.wav,audio,,6,2025-11-19 23:48:49,2026-05-12 23:08:32
394,Havet är stilla,havet-ar-stilla,https://mariusvarhaugvik.com/marius-varhaugvik/havet-ar-stilla/,https://mariusvarhaugvik.com/wp-content/uploads/2025/11/havet-ar-stilla.wav,audio,,6,2025-11-19 23:50:20,2026-05-12 23:08:32
